kandidat_id,disability_type,skills,functional_profile
K200,Gangguan Spektrum Autisme,"Microservices, Java, Go, Kubernetes","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan pengembangan backend dan arsitektur sistem. Latar belakang D3 Manajemen Informatika, menguasai Django dan PostgreSQL secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K201,Acquired Brain Injury (ABI),"Penanganan Keluhan, Problem Solving, Freshdesk, Live Chat","ABI yang memengaruhi fungsi eksekutif seperti perencanaan dan multitasking. Lulusan S1 Desain Komunikasi Visual, menggunakan aplikasi manajemen tugas (Notion, Trello) dan reminder otomatis untuk mendukung produktivitas di bidang layanan pelanggan. Sangat terampil dalam Freshdesk dan Zendesk dan bekerja terbaik dengan tugas yang terstruktur dan tenggat yang jelas."
K202,Gangguan Pendengaran / Tuli (Tunarungu),"Pandas, Power BI, Machine Learning Dasar, Statistik, R","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang S1 Sistem Informasi, sangat kompeten dalam Python dan SQL untuk bidang analisis data dan business intelligence. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
K203,Acquired Brain Injury (ABI),"SQL, Statistik, Tableau, Pandas, Machine Learning Dasar","ABI yang memengaruhi fungsi eksekutif seperti perencanaan dan multitasking. Lulusan D4 Rekayasa Perangkat Lunak, menggunakan aplikasi manajemen tugas (Notion, Trello) dan reminder otomatis untuk mendukung produktivitas di bidang analisis data dan business intelligence. Sangat terampil dalam R dan Excel dan bekerja terbaik dengan tugas yang terstruktur dan tenggat yang jelas."
K204,Gangguan Penglihatan (Tunanetra),"Firewall, Penetration Testing, ISO 27001, Ethical Hacking",Mengalami gangguan penglihatan sejak usia muda dan kini bekerja mandiri di bidang jaringan komputer dan infrastruktur IT menggunakan screen reader dan perangkat braille. Latar belakang pendidikan D4 Rekayasa Perangkat Lunak yang ditempuh secara inklusif. Sangat produktif dalam pekerjaan berbasis teks dan data menggunakan Cisco dan MikroTik.
K205,Acquired Brain Injury (ABI),"Jenkins, Azure, Terraform","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan D3 Manajemen Informatika, kompeten dalam AWS dan Terraform untuk bidang DevOps dan cloud infrastructure dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K206,Gangguan Spektrum Autisme,"Freshdesk, Live Chat, Empati, Penanganan Keluhan, Problem Solving","Gangguan Spektrum Autisme dengan kecenderungan hiperfokus pada bidang teknologi dan layanan pelanggan. Lulusan D3 Administrasi Bisnis, sangat terampil dalam software CRM dan terus mengembangkan keahlian secara mandiri. Membutuhkan ruang kerja yang tenang dan komunikasi yang eksplisit tanpa ambiguitas."
K207,Gangguan Mental / Psikososial,"Email Marketing, Copywriting, Facebook Ads","Individu dengan gangguan psikososial yang kini dalam kondisi stabil dan siap kembali ke dunia kerja di bidang pemasaran digital. Latar belakang S1 Manajemen, kompeten dalam Google Ads dan Meta Ads. Sangat cocok untuk posisi yang tidak mensyaratkan tekanan kerja tinggi dan memungkinkan fleksibilitas pendekatan penyelesaian tugas."
K208,Gangguan Daksa Tangan,"Proofreading, Bahasa Inggris, Bahasa Jepang, Bahasa Mandarin, Lokalisasi, SDL Trados","Keterbatasan fungsi tangan sejak lahir yang tidak menghalangi karir profesional di bidang penerjemahan dan lokalisasi. Lulus dari S1 Ekonomi, menggunakan keyboard satu tangan dan foot mouse sebagai alat bantu. Menguasai platform penerjemahan profesional dengan baik dan terbukti produktif di berbagai lingkungan kerja."
K209,Gangguan Daksa Tangan,"Design System, Canva, User Research, Prototyping","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang D3 Manajemen Informatika, kompeten dalam Figma dan Prototyping Tools untuk bidang desain antarmuka pengguna. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K210,Gangguan Spektrum Autisme,"Sketch, InVision, Design System","Penyandang Gangguan Spektrum Autisme (GSA) fungsional tinggi dengan kemampuan hiperfokus dan perhatian terhadap detail yang luar biasa di bidang desain antarmuka pengguna. Lulusan S1 Teknik Komputer, sangat terampil dalam Figma dan Adobe XD. Bekerja paling optimal di lingkungan yang tenang, minim gangguan sensorik, dan memiliki ekspektasi tugas yang jelas dan tidak ambigu."
K211,Gangguan Mental / Psikososial,"Pelatihan SDM, LinkedIn Recruiter, Manajemen Kinerja, Rekrutmen, HRIS, Hubungan Industrial","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan S1 Akuntansi, sangat produktif dalam periode stabil untuk pekerjaan manajemen sumber daya manusia. Terampil dalam sistem manajemen kinerja dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K212,Gangguan Bicara (Tunawicara),"AWS, GCP, Jenkins, Docker, Linux","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang S1 Teknik Informatika, ahli dalam Docker dan Kubernetes untuk bidang pengembangan backend dan arsitektur sistem. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
K213,Gangguan Intelektual,"Microsoft Office, Manajemen Jadwal, Google Workspace, Surat Menyurat, Pengarsipan","Mengalami gangguan intelektual ringan dan bekerja paling efektif pada tugas-tugas yang terstruktur, berulang, dan memiliki instruksi yang jelas. Lulusan S1 Akuntansi dengan dukungan program pendidikan inklusif. Terampil dalam sistem pengarsipan digital untuk bidang administrasi perkantoran dan sangat dapat diandalkan dalam menyelesaikan tugas rutin dengan supervisi minimal."
K214,Gangguan Intelektual,"SEO Writing, Penulisan Konten, WordPress, CapCut, Copywriting","Mengalami gangguan intelektual ringan dan bekerja paling efektif pada tugas-tugas yang terstruktur, berulang, dan memiliki instruksi yang jelas. Lulusan S1 Ekonomi dengan dukungan program pendidikan inklusif. Terampil dalam tools SEO dan analitik media sosial untuk bidang pemasaran digital dan sangat dapat diandalkan dalam menyelesaikan tugas rutin dengan supervisi minimal."
K215,Gangguan Penglihatan (Tunanetra),"Microsoft Word, Ketelitian Data, Pengetikan Cepat, Google Sheets, Microsoft Excel",Lulusan S1 Desain Komunikasi Visual yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan entri data dan pengelolaan database. Sangat terampil dalam Microsoft Excel dan Google Sheets yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K216,Gangguan Bicara (Tunawicara),"Azure, Ansible, Kubernetes","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang S1 Ilmu Komputer, ahli dalam Docker dan Kubernetes untuk bidang pengembangan backend dan arsitektur sistem. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
K217,Gangguan Bicara (Tunawicara),"Jetpack Compose, React Native, SQLite, Android, Firebase, Kotlin",Tunawicara yang berkomunikasi menggunakan text-to-speech dan teks tertulis. Latar belakang D4 Rekayasa Perangkat Lunak dengan keahlian mendalam dalam Firebase dan SQLite untuk bidang pengembangan aplikasi mobile. Lebih efektif dalam lingkungan kerja yang tidak mensyaratkan presentasi verbal tatap muka secara intensif.
K218,Gangguan Pendengaran / Tuli (Tunarungu),"Pengetikan Cepat, Ketelitian Data, Spreadsheet, Microsoft Excel","Mengalami ketulian akibat infeksi pada usia dini dan kini sangat efektif bekerja melalui komunikasi tertulis, email, dan pesan chat. Lulus dari D3 Sekretaris dan ahli di bidang entri data dan pengelolaan database menggunakan Microsoft Excel dan Google Sheets. Mampu berpartisipasi dalam rapat melalui teks atau dengan dukungan subtitle otomatis."
K219,Gangguan Daksa Kaki,"Canva, Motion Graphics, Adobe Illustrator, Desain Visual, CorelDRAW, Branding","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Manajemen, sangat kompeten dalam Sketch dan InVision untuk pekerjaan desain antarmuka pengguna. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K220,Gangguan Pendengaran / Tuli (Tunarungu),"Notulensi, Administrasi Perkantoran, Surat Menyurat, Microsoft Office, Google Workspace, Pengarsipan","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang S1 Bahasa Inggris, sangat kompeten dalam sistem pengarsipan digital untuk bidang administrasi perkantoran. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
K221,Acquired Brain Injury (ABI),"Laravel, CSS, JavaScript, REST API","Mengalami cedera otak akibat kecelakaan lalu lintas yang memengaruhi memori jangka pendek, namun kemampuan teknis di bidang pengembangan web tetap terjaga. Lulusan D3 Manajemen Informatika, terampil dalam HTML/CSS dan JavaScript. Bekerja menggunakan alat bantu seperti reminder digital, catatan terstruktur, dan aplikasi manajemen tugas untuk mengkompensasi keterbatasan memori."
K222,Gangguan Daksa Kaki,"Wireframing, Figma, Prototyping, User Research, Sketch","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Matematika (konsentrasi komputasi), sangat kompeten dalam Figma dan Adobe XD untuk pekerjaan desain antarmuka pengguna. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K223,Gangguan Bicara (Tunawicara),"SDL Trados, Bahasa Mandarin, Proofreading, Bahasa Jepang","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan S1 Marketing yang berpengalaman di bidang penerjemahan dan lokalisasi menggunakan platform penerjemahan profesional. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K224,Gangguan Pendengaran / Tuli (Tunarungu),"Jenkins, Terraform, AWS, GCP","Tunarungu yang sangat terampil dalam bidang DevOps dan cloud infrastructure dengan latar belakang D3 Manajemen Informatika. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian AWS dan Terraform telah terbukti dalam pengalaman kerja sebelumnya."
K225,Gangguan Daksa Tangan,"Docker, Terraform, Jenkins, Azure, GCP, Ansible","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang S1 Sistem Informasi, kompeten dalam Django dan PostgreSQL untuk bidang pengembangan backend dan arsitektur sistem. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K226,Gangguan Penglihatan (Tunanetra),"Data Cleaning, Power BI, R",Mengalami gangguan penglihatan sejak usia muda dan kini bekerja mandiri di bidang analisis data dan business intelligence menggunakan screen reader dan perangkat braille. Latar belakang pendidikan S1 Matematika (konsentrasi komputasi) yang ditempuh secara inklusif. Sangat produktif dalam pekerjaan berbasis teks dan data menggunakan Python dan SQL.
K227,Gangguan Pendengaran / Tuli (Tunarungu),"Dart, SQLite, React Native","Tunarungu yang sangat terampil dalam bidang pengembangan aplikasi mobile dengan latar belakang D3 Manajemen Informatika. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian React Native telah terbukti dalam pengalaman kerja sebelumnya."
K228,Gangguan Spektrum Autisme,"Content Creation, Analitik Media Sosial, Copywriting, Google Ads, Email Marketing","Penyandang GSA yang telah berkarir sukses di bidang pemasaran digital berkat kemampuan analitis yang kuat dan dedikasi terhadap akurasi. Latar belakang S1 Desain Komunikasi Visual, menguasai tools SEO dan analitik media sosial. Bekerja paling efektif dengan panduan tugas tertulis yang detail dan feedback yang langsung serta spesifik."
K229,Gangguan Penglihatan (Tunanetra),"MySQL, Vue.js, REST API",Penyandang low vision yang menggunakan ZoomText dan pengaturan kontras tinggi pada monitor berukuran besar untuk bekerja di bidang pengembangan web. Lulusan S1 Teknik Komputer dengan keahlian React dan Node.js yang terverifikasi. Membutuhkan monitor minimal 27 inci dan software pembesaran layar yang terinstal di workstation.
K230,Acquired Brain Injury (ABI),"WMS, Microsoft Excel, Manajemen Gudang, Perencanaan Distribusi","ABI yang memengaruhi fungsi eksekutif seperti perencanaan dan multitasking. Lulusan S1 Akuntansi, menggunakan aplikasi manajemen tugas (Notion, Trello) dan reminder otomatis untuk mendukung produktivitas di bidang entri data dan pengelolaan database. Sangat terampil dalam Microsoft Excel dan Google Sheets dan bekerja terbaik dengan tugas yang terstruktur dan tenggat yang jelas."
K231,Acquired Brain Injury (ABI),"Pelatihan SDM, LinkedIn Recruiter, HRIS","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Psikologi, kompeten dalam platform rekrutmen digital untuk bidang manajemen sumber daya manusia dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K232,Gangguan Bicara (Tunawicara),"FastAPI, Django, Go","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan S1 Teknik Komputer yang berpengalaman di bidang pengembangan backend dan arsitektur sistem menggunakan Docker dan Kubernetes. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K233,Acquired Brain Injury (ABI),"Branding, Desain Visual, Motion Graphics, Tipografi, Adobe Illustrator","Cedera otak yang diperoleh akibat infeksi meningitis yang memengaruhi kecepatan pemrosesan informasi. Latar belakang S1 Marketing, terampil dalam Adobe Photoshop dan Illustrator untuk bidang desain grafis. Membutuhkan lebih banyak waktu untuk menyelesaikan tugas kompleks, namun menghasilkan output yang akurat dan berkualitas tinggi."
K234,Gangguan Daksa Kaki,"Copywriting, YouTube, Instagram, CapCut","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang D3 Akuntansi, terampil dalam Google Ads dan Meta Ads untuk bidang pemasaran digital. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K235,Gangguan Penglihatan (Tunanetra),"HRIS, Manajemen Kinerja, Hubungan Industrial",Lulusan S1 Marketing yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan manajemen sumber daya manusia. Sangat terampil dalam software HRIS yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K236,Gangguan Pendengaran / Tuli (Tunarungu),"Kubernetes, Go, Java, Microservices, PostgreSQL, Django","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan D3 Manajemen Informatika yang sangat terampil dalam FastAPI dan Redis untuk pekerjaan pengembangan backend dan arsitektur sistem. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
K237,Gangguan Daksa Kaki,"Tipografi, Adobe Illustrator, Desain Visual, Branding","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang S1 Hubungan Internasional, terampil dalam Canva dan CorelDRAW untuk bidang desain grafis. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K238,Gangguan Penglihatan (Tunanetra),"Azure, Kubernetes, Docker, Ansible","Tunanetra bawaan yang berpengalaman di bidang pengembangan backend dan arsitektur sistem menggunakan teknologi asistif seperti NVDA dan display braille. Lulusan S1 Teknik Elektro, terbiasa menggunakan Spring Boot dan Java melalui shortcut keyboard tanpa ketergantungan pada tampilan visual. Cocok bekerja secara remote maupun di kantor yang mendukung aksesibilitas digital."
K239,Gangguan Penglihatan (Tunanetra),"SEO, Email Marketing, Google Ads, Digital Marketing",Penyandang low vision yang menggunakan ZoomText dan pengaturan kontras tinggi pada monitor berukuran besar untuk bekerja di bidang pemasaran digital. Lulusan S1 Komunikasi dengan keahlian Google Ads dan Meta Ads yang terverifikasi. Membutuhkan monitor minimal 27 inci dan software pembesaran layar yang terinstal di workstation.
K240,Gangguan Bicara (Tunawicara),"Redis, Python, Django","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan D4 Rekayasa Perangkat Lunak yang berpengalaman di bidang analisis data dan business intelligence menggunakan Python dan SQL. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K241,Gangguan Penglihatan (Tunanetra),"SEO Writing, CapCut, Copywriting, Penulisan Konten, Editing Video, WordPress","Tunanetra bawaan yang berpengalaman di bidang pemasaran digital menggunakan teknologi asistif seperti NVDA dan display braille. Lulusan S1 Marketing, terbiasa menggunakan platform email marketing melalui shortcut keyboard tanpa ketergantungan pada tampilan visual. Cocok bekerja secara remote maupun di kantor yang mendukung aksesibilitas digital."
K242,Gangguan Bicara (Tunawicara),"Google Classroom, E-Learning, Moodle","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang S1 Psikologi, ahli dalam Moodle dan Google Classroom untuk bidang pendidikan dan pelatihan. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
K243,Gangguan Spektrum Autisme,"Microsoft Excel, Pengetikan Cepat, Accurate, Ketelitian Data","Autisme spektrum level 1 dengan keunggulan dalam pemikiran sistematis dan konsistensi kerja di bidang entri data dan pengelolaan database. Lulusan S1 Komunikasi, sangat produktif menggunakan software entri data perusahaan dalam tugas-tugas yang membutuhkan presisi tinggi. Membutuhkan lingkungan kerja yang tidak terlalu padat secara sosial dan memiliki struktur yang jelas."
K244,Gangguan Daksa Tangan,"Kriptografi, OWASP, Metasploit","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang D4 Rekayasa Perangkat Lunak, ahli dalam Nmap dan Metasploit untuk bidang keamanan siber. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K245,Gangguan Daksa Kaki,"Spreadsheet, Microsoft Excel, Microsoft Word","Gangguan daksa kaki (amputasi di bawah lutut) yang diatasi dengan penggunaan kaki prostetik berteknologi modern. Latar belakang S1 Hubungan Internasional, menguasai software entri data perusahaan untuk bidang entri data dan pengelolaan database. Mampu bekerja di kantor dengan akses aksesibel maupun dari rumah tanpa perbedaan produktivitas."
K246,Gangguan Penglihatan (Tunanetra),"Google Data Studio, NumPy, Tableau","Tunanetra bawaan yang berpengalaman di bidang analisis data dan business intelligence menggunakan teknologi asistif seperti NVDA dan display braille. Lulusan S1 Matematika (konsentrasi komputasi), terbiasa menggunakan Python dan SQL melalui shortcut keyboard tanpa ketergantungan pada tampilan visual. Cocok bekerja secara remote maupun di kantor yang mendukung aksesibilitas digital."
K247,Gangguan Daksa Kaki,"Komunikasi, CRM, Problem Solving, Empati",Pengguna kursi roda akibat cedera tulang belakang yang tetap aktif berkarir di bidang layanan pelanggan. Lulusan D3 Akuntansi yang sangat terampil dalam platform live chat dan helpdesk. Memerlukan meja kerja adjustable height dan jalur aksesibel di seluruh area kantor untuk mobilitas optimal.
K248,Gangguan Bicara (Tunawicara),"Firewall, Nmap, Ethical Hacking, SIEM, Penetration Testing, ISO 27001","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang D3 Teknik Informatika, ahli dalam Linux dan Firewall tools untuk bidang jaringan komputer dan infrastruktur IT. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
K249,Acquired Brain Injury (ABI),"Hubungan Industrial, Payroll, Manajemen Kinerja, Rekrutmen, LinkedIn Recruiter","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang S1 Desain Komunikasi Visual, kini mampu kembali bekerja di bidang manajemen sumber daya manusia menggunakan sistem manajemen kinerja. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
K250,Gangguan Pendengaran / Tuli (Tunarungu),"Pengetikan Cepat, Accurate, Spreadsheet, Microsoft Word, Microsoft Excel","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang D3 Akuntansi, sangat kompeten dalam Microsoft Excel dan Google Sheets untuk bidang entri data dan pengelolaan database. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
